filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
92,Accattone,1961,Drama,120,Italy,Pier Paolo Pasolini,"Franco Citti, Franca Pasut, Adriana Asti, Paola Guidi, Silvana Corsini, Luciano Conti, Luciano Gonini, Renato Capogna",8.4,8.81,8,299,"Story of a drifter, Accattone, who drags an empty existence into the Roman villages. There is a woman who thinks of supporting him by being a prostitute. When she is arrested and Accattone is deprived of his livelihood, he goes in search of his wife, abandoned some time before with a little son; rejected by her, he finds solidarity in a ""clean"" girl.","After seeing the first dailies Federico Fellini said to Pasolini: go back to writing, it's better. Instead, the director-poet's debut film is a masterpiece. Sacred music, proletarian faces, life stories, and the shadow of the sacred. Pasolini invented a new way of making cinema, combining the acquisitions of the nouvelle vague with the aesthetics of the silent and the Bunuel of ""Los Olvidados"". The film had problems with censorship. In a small part there is Elsa Morante who is an inmate.",1,3,3,3,2
94,Arrêt sur image,1987,Drama,77,France,Christine Allen,"Valerie Dumas, Marvin Sither, Catherine Malard, Julie Ravix, Sally Nyolo, Maka Kotto, François Maistre",4.5,4,5,4,"Benjamin, a black writer, is injured while demonstrating against apartheid in Cape Town. Taking refuge in a villa, he is discovered by the white Cinthia, who convinces a friend to hide him in a safer place, in her house by the sea. Cinthia, conditioned by the apartheid laws, represses her nascent feelings towards the writer. But when he finds out that her friend has slept with him, she reports him to the police.","If the streets of hell are paved with good intentions, this film also wins a place with good reason, drowning its ambitions to denounce apartheid in a very banal cartoon.",0,1,1,0,2
95,Achtung! Banditi!,1951,War,100,Italy,Carlo Lizzani,"Gina Lollobrigida, Andrea Checchi, Vittorio Duse, Lamberto Maggiorani, Maria Laura Rocca, Giuseppe Taffarel, Franco Bologna, Pietro Tordi, Giuliano Montaldo",7,6.92,7,55,"The war is about to end and in Genoa a group of partisans is charged with a dangerous mission: to prevent the Nazis from taking the machinery of an arms factory with them to Germany. The action is difficult, but they obtain the solidarity of the workers who thus also defend their jobs. When all seems lost, the decisive intervention of a battalion of Alpine troops leads the group to victory.","Directorial debut for Carlo Lizzani who takes his cue from a real news story to talk about the relationship between workers and the Resistance. The film was completely self-produced by the director and the interpreters associated with a cooperative. Vintage Neorealism, with a credible Gina Lollobrigida and the protagonist of ""Bicycle Thieves"".",0,2,4,2,0
97,Water,1985,Grotesque,97,Great Britain,Dick Clement,"Michael Caine, Valerie Perrine, Brenda Vaccaro, Leonard Rossiter, Billy Connolly, Dennis Dugan, Fulton MacKay, Jimmie Walker, Dick Shawn",6.9,8,6,5,"On the island of Cascara an old oil well is reopened, which instead of black gold releases mineral water. American businessmen, British paratroopers, film crews, mercenaries and assorted revolutionaries begin to circulate around the event. It all ends with an unexpected rock concert which also includes Ringo Starr and Eric Clapton.","Michael Caine becomes involved in the operation as governor of the island, while Brenda Vaccaro tries in vain to look like Carmen Miranda. Executive producer of this demented-surreal farce is former Beatle George Harrison who also produced ""Lunch Royal"" with Maggie Smith and ""Life of Brian"" by Monty Python. Although inferior to them, even this madness has rhythm and bite.",2,3,0,1,0
100,Acque di primavera,1942,Drama,80,Italy,Nunzio Malasomma,"Gino Cervi, Mariella Lotti, Paolo Stoppa, Vanna Vanni, Carlo Lombardi, Annibale Betrone, Marina Doge, Wanda Capodaglio",5.6,4.2,7,8,"A young doctor, abandoned by his wife, goes to work in a children's sanatorium lost in the mountains.","Melodrama set in the snow, remarkably boring.",0,2,0,0,0
101,Action Jackson,1988,Crime,97,United States,Craig R. Baxley,"Carl Weathers, Craig T. Nelson, Vanity, Sharon Stone, Thomas F. Wilson, Bill Duke, Robert Davi, Jack Thibeau",5.2,5,5,35,"Two trade unionists are killed in Detroit. Sergeant Jackson knows that behind the murders is the industrialist Dellaplane, whose son he had arrested a few years earlier, for a degradation as a reward. The industrialist's second wife is killed by Dellaplane himself, after she is convinced of his guilt. For Jackson the investigation becomes a personal matter and he gets to the head without being too scrupulous. He will only take to heart Sidney, Dellaplane's lover.","The clash between trade unions and employers' interests is, as can be easily understood, only a pretext for a discreet action police.",0,3,0,2,0
104,Mail Order Bride,1963,Western,90,United States,Burt Kennedy,"Buddy Ebsen, Keir Dullea, Warren Oates, Marie Windsor, Lois Nettleton, Barbara Luna",6.1,6,6,19,"Restless and rebellious, Lee Karey is entrusted by his father to former Sheriff Will Lane to be ""put in line"". The boy in fact proves to be absolutely ""allergic"" to any form of authority. After careful consideration, Lane decides that the best cure is to get him a wife. He then summons Annie Boley, a young widow with a child. Not happy Lane establishes a strict clause: only after the marriage Lee will be able to take possession of the paternal ranch. The only problem is that, little by little, the two end up falling in love seriously.","A western tinged with comedy, according to conventional ways that still keep it at decent levels.",1,2,0,1,0
105,Ad Ovest di Paperino,1982,Comedy,95,Italy,Alessandro Benvenuti,"Alessandro Benvenuti, Francesco Nuti, Athina Cenci, Lucilla Baroni, Riccardo Cioni, Donata Genazzani, Paolo Hendel, Novello Novelli",6.2,6.43,6,106,"Three young people, two boys and a girl, walking around the streets of Florence: one works in a private radio, one is unemployed and a third is a painter. Small and big dramas, small stories with a comic minimalism intertwine and melt.","After the classic rigmarole of cabaret and television, even the three Tuscan comedians of the ""Giancattivi"" group have landed on the big screen. Theirs is a vaguely surreal comedy, where the regionalistic comic vis is combined with the Giovanilese so in vogue at the time and with a subdued social analysis. The result is not bad: the three will then take different paths, with the results that everyone knows.",3,3,2,1,1
107,Ada,1961,Drama,109,United States,Daniel Mann,"Susan Hayward, Dean Martin, Wilfrid Hyde-White, Martin Balsam, Ralph Meeker, Frank Maxwell, Connie Sawyer, Ford Rainey",6.3,6,7,4,"A group of speculators, headed by a certain Sylvester, succeeds in getting a young farmer named Bo Gillis elected to the office of Governor. Bo is as good as he is naive and does not even realize that he is the straw man of a group of businessmen. He notices it only when he is wounded in a bombing, but at that point Sylvester tries to play the same game with Ada, Bo's wife. The woman, however, despite her past is not exactly crystal clear, does not allow herself to be exploited.","A drama about power mixed with a marriage drama. Susan Hayward, the woman with a troubled past, tries them all, but the result isn't splendid.",0,2,1,2,0
108,Adamo ed Eva,1949,Comedy,90,Italy,Mario Mattòli,"Erminio Macario, Isa Barzizza, Gianni Agus",4.8,4,6,9,"Adamo Rossi, hairdresser, is engaged to Eva Bianchi, the manicurist, but he has some doubts that comes from a book according to which the fault of everything is always the woman: from the siege of Troy to the French revolution. Inspired by the reading, he begins to think that maybe ...",Collage of avanspectacle pieces by the comedian from Tornio and parody of film genres.,3,1,0,0,0
109,Adam and Evelyne,1949,Comedy,92,Great Britain,Harold French,"Stewart Granger, Jean Simmons, Helen Cherry, Edwin Styles, Raymond Young, Beatrice Varley, Joan Swinstead, Wilfrid Hyde-White",6.7,6.33,7,11,Adam (Granger) runs an underground gambling den. One day a jockey from his stable dies after a fall. On his deathbed he entrusts the daughter he never knew to Adam. Adam welcomes the young woman into the house and gradually falls in love with her. This triggers the jealousy of his girlfriend who reports him to the police.,,1,2,1,0,0
110,Farewell to the King,1988,War,107,United States,John Milius,"Nick Nolte, Nigel Havers, James Fox, Frank McRae, Marilyn Toduka, Gerry Lopez, Chang Wing Choy, Aki Aleong",6.9,6.6,7,42,"Learoyd, a former sergeant who defected from the US military, was made king of an indigenous tribe from Borneo. During the Second World War, two British soldiers are parachuted on that island to organize resistance against the Japanese. Learoyd gets the promise of immunity for her desertion and the recognition of her ""kingdom"".","Battles, massacres, and a bitter ending. The utopia of a return to nature, the virile friendship between the former sergeant and the English captain (Havers), the balance of a reality that can only be different from the premises (and promises), are the themes of the film. . Which breathes above all in the spaces and times of a melancholy adventure, narrated by a Milius (""The wind and the lion"", but also the sounding of ""Apocalypse now"") who wallows in his themes.",1,2,1,2,1
111,A Farewell to Arms,1932,War,78,United States,Frank Borzage,"Gary Cooper, Helen Hayes, Adolphe Menjou, Mary Philips, Jack La Rue, Blanche Friderici, Mary Forbes, Gilbert Emery",6.9,7.2,7,17,"Federic, an American journalist (Cooper), volunteers for the Italian army and meets the English Red Cross nurse Kitty (Hayes).","It is the great love, against the backdrop of the First World War. This was the first film adaptation of Ernest Hamingway's novel, never distributed in Italy because it was unwelcome to fascism, which did not tolerate its explicit anti-war message. Frank Borzage was a director specializing in love stories with a hint of tragedy (but the ending of the film was very sweetened compared to the book) who built a film of great appeal, thanks also to the fame of the actors.",1,3,2,3,1
114,Addio giovinezza!,1940,Drama,88,Italy,Ferdinando Maria Poggioli,"Maria Denis, Adriano Rimoldi, Clara Calamai, Carlo Campanini, Bianca Della Corte, Carla Minello, Paolo Carlini",6.4,6.2,7,16,"At the beginning of the century in Turin, Mario, a university student, falls in love with a tailor named Dorina. One day he meets Elena, a lost woman kept by a rich gentleman. Mario loses his head and Dorina loses love. Despite the various distractions Mario arrives at graduation and, on the day of his return to the country, he sees Dorina again who gives him an embroidered wallet.","It is the famous comedy by Camasio and Oxilia, brought to the cinema so many times that it seems like a nursery rhyme. This version, however, boasts the not very heavy style of Ferdinando Maria Poggioli, the screenplay by Salvatori Gotta and (uncredited because he is a Jew) Giacomo Debenedetti, and the presence of Clara Calamai, naturally in the role of the lost and kept woman.",0,1,0,2,1
115,"Goodbye, My Lady",1956,Drama,95,United States,William A. Wellman,"Brandon de Wilde, Walter Brennan, Sidney Poitier, Phil Harris, William Hopper, Louise Beavers, George Chandler",6,6,6,4,"The young Skeeter finds a stray near his home, takes it to live with him and becomes attached to him, until he discovers that it is a dog that has escaped from a kennel. Its owners promise a reward to those who bring it back, and Skeeter just isn't sure whether to step forward or not.",Pretty interesting children's film despite the obviousness of the plot.,0,2,0,2,0
117,Goodbye Mr. Chips!,1939,Romantic,114,United States,Sam Wood,"Robert Donat, Greer Garson, Paul Henreid, Terry Kilburn, John Mills, Judith Furse, Lyn Harding, Milton Rosmer",7.3,7.57,7,24,"An old professor remembers his life: the first enthusiasms and the bitterness of his abrupt relationships with colleagues and students. Thanks to his wife, however, things have changed. Even the prospect of the future, although mortgaged by old age, appears less bleak.","Well served by the two actors, the film skillfully mixes humor and sentimentality.",1,3,2,2,0
118,The Browning Version,1951,Comedy,90,Great Britain,Anthony Asquith,"Michael Redgrave, Jean Kent, Nigel Patrick, Wilfrid Hyde-White, Brian Smith, Bill Travers, Ronald Howard",8.3,8.17,8,24,"Mr. Harris taught all his life in a school. He has never been able to make himself loved by anyone, due to his closed and angular character. At home, things are no better, because his wife has been in a relationship with a colleague for some time. On the day of farewell before retirement, Harris, after speaking with a pupil, explains with a noble speech what he has never been able to make understood in so many years. Colleagues and alumni from that moment will be close to him.",English psychological melodrama based on a solid theatrical text by Terence Rattigan and on the excellent interpretation of the actors.,0,3,3,2,0
119,"Addio, Napoli!",1954,Drama,86,Italy,Roberto Bianchi Montero,"Giorgio De Lullo, Tamara Lees, Andrea Checchi, Leopoldo Valentini, Maria Grazia Francia, Charles Fawcett, Dante Maggio",2,3,1,3,"In 1940 in Naples Tom falls in love with Clara, a girl of the people. Their relationship is complicated by Tom's brother and the woman's father. There is also a theft of jewelry on which it is not possible to shed light because Tom and his brother are hastily recalled to England: war is in fact at the gates. Tom then returns to Naples as an allied officer during the occupation. Clara now has a daughter. Charles believes her to be married and tries to forget her, but a different truth soon emerges.",Typical example of a pseudoneorealist film that smuggles old content from an appendix novel under the new form.,0,0,2,1,1
121,The Miniver Story,1950,Drama,104,United States,H.C. Potter,"Greer Garson, Walter Pidgeon, John Hodiak, Leo Genn, Cathy O'Donnell, Reginald Owen, Anthony Bushell, Richard Gale",6.7,7,6,9,"Kay Miniver's family, dispersed by the Second World War, is recomposed in England: her husband, her eldest daughter, working in Cairo as an auxiliary, and little Toby, sent to America during the conflict, return. Kay, whose illness leaves a few months to live, tries to help her family find a balance.","The film is a continuation of the story told in 1942 by William Wyler with ""Mrs. Miniver"". Almost always avoiding the solution of easy tears, he offers a sober family portrait, to which the valuable interpretations of the protagonists contribute.",0,2,2,1,0
122,Une ravissante idiote,1963,Comedy,108,France,Edouard Molinaro,"Anthony Perkins, Brigitte Bardot, Gregoire Aslan, Denise Provence, Jean-Marc Tennberg, Hans Verner, Jacques Monod",5.4,6.33,5,14,"Harry Compton wants to avenge capitalism by offering his services to Soviet espionage. He receives the task of stealing a dossier, which in reality hides a trap. He falls in love with the hairdresser Penelope and, with her help, manages, despite everything, to fulfill the task.","Parody of the spy films in vogue at the time, which on the whole does not keep its promises. The film was shot on the streets of Paris, with obvious toponymic inconsistencies, all because in England Bardot fans prevented filming. Anthony Perkins was not yet imprisoned in the role of the eternal maniac.",2,2,0,0,1
123,Unfaithfully Yours,1984,Comedy,100,United States,Howard Zieff,"Dudley Moore, Nastassja Kinski, Armand Assante, Cassie Yates, Richard Libertini, Albert Brooks, Richard B. Shull",6.2,6,6,15,"A middle-aged conductor, having to leave for a tour, leaves the task of keeping an eye on his young wife on his right arm. However, due to excess of zeal, even a detective guards the house of the principal who, moreover, runs into an unpleasant misunderstanding.","From the game bag of the great Preston Sturges, the screenplay of his masterpiece is rescued, interpreted at the time by Rex Harrison and Linda Darnell, and, after a contemporary repaint, re-enacted. Howard Zieff, director specializing in comedies with no particular merits, here confirms his inability to thrill.",3,3,0,1,1
124,Beloved Infidel,1959,Biography,123,United States,Henry King,"Gregory Peck, Deborah Kerr, Eddie Albert, Philip Ober, Herbert Rudley, John Sutton, Karin Booth",5.8,6,6,15,"The British journalist Sheilah Graham, who has established herself in the United States, knows the writer Francis Scott Fitzgerald, working in Hollywood as a screenwriter, and the two are immediately in love while the novelist's wife is hospitalized in a clinic for the insane.","A bitter passion narrated with almost all the defects of the ""made in Hollywood"" conventions, not even redeemed by the presence of big name actors, nor by the dull direction of a ""man for all seasons"" like Henry King.",0,2,1,2,0
126,Adua e le compagne,1960,Drama,98,Italy,Antonio Pietrangeli,"Marcello Mastroianni, Simone Signoret, Sandra Milo, Emmanuelle Riva, Domenico Modugno, Antoinette Weynen, Gina Rovere",7.9,7.94,8,97,"In the aftermath of the Merlin law and the consequent closure of the ""closed houses"", four girls of life decide to open a restaurant with the help of a certain Ercole, an unscrupulous businessman. He intends to make the place a cover for a new dating house, but they take a taste for the new job and prefer not to return to life as usual. But this attempt to lead an honest existence will only yield them a denunciation.","One of the many successful portraits of women by Pietrangeli, thanks to the screenwriters Scola and Maccari and the music of Piero Piccioni.",2,3,4,4,3
127,Beröringen,1971,Drama,93,"Sweden, United States",Ingmar Bergman,"Bibi Andersson, Elliott Gould, Max Von Sydow, Sheila Reid",6.2,6,6,20,"The quiet and happy family ménage of Karin and Andrea, a couple living in a small town in the Swedish province, is shocked by the arrival of David, a young Jewish archaeologist. A stormy relationship begins between Karin and David, destined to last until Andrea, who learns of it, forces his wife to make a final decision. He will have to choose between him and the lover.","A bizarre film by the master, considered by all unsolved and even kitsch for some visual refinements. However, the portrait of the couple leaves its mark, and the performers are very good. Andersson and Von Sydow are genuine Bergmanians, but Gould doesn't look bad either.",0,3,3,3,1
129,Adulterio all'italiana,1966,Comedy,95,Italy,Pasquale Festa Campanile,"Catherine Spaak, Nino Manfredi, Vittorio Caprioli, Maria Grazia Buccella, Mario Pisu, Gino Pernice, Akim Tamiroff",5.6,5.5,6,44,"Having discovered her husband Franco in the arms of her best friend, Marta promises him a similar revenge. She then has no other intention than to scare him, but Franco fears that the threat is real and therefore takes all the tricks of which Marta is capable. Eventually Franco understands the lesson and gets forgiveness from his wife.","Catherine Spaak is in great shape and Nino Manfredi is dumb at the right point. Add to them the cynicism of Caprioli and the graces of Buccella. The direction (as well as the screenplay) is by Pasquale Festa Campanile, better with the pen than with the camera.",2,2,2,1,2
130,"Adultero lui, adultera lei",1963,Comedy,90,Italy,Raffaello Matarazzo,"Marilù Tolo, Luigi Giuliani, Umberto D'Orsi, Peppino De Filippo, Bice Valori, Didi Perego, Maria Grazia Buccella, Francesco Mulè, Gino Bramieri",4.8,5,5,8,"Lina, who suffers constant betrayal by her husband, decides to give him tit for tat. He goes away with Piero in the same boarding house where the cheater meets with the last of his conquests and calls the police. Lina's revenge, however, turns back on Piero's wife who, convinced of being betrayed, is contemplating suicide.","Raffaello Matarazzo, here in the third last film of a long career that began in 1932, enjoys visiting the comic side of events that could lead to popular melodrama, a genre of which he was an absolute specialist.",2,2,0,0,1
131,Airplane!,1980,Comedy,90,United States,"Jim Abrahams, David Zucker, Jerry Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen, Lloyd Bridges, Peter Graves, Kareem Abdul-Jabbar, Robert Stack, Lorna Patterson, Frank Ashmore, Maureen McGovern",7.4,7.45,7,258,"Ted is a taxi driver abandoned by his girlfriend, a stewardess on airliners. To win her back, he embarks on the flight on which she is on duty, but surprises are not lacking. The lunch served on board is in fact spoiled, and among the intoxicated there are the pilots. Urged by the girl Ted, despite never having flown a plane, he still manages to land saving everyone.","The directors became famous by inventing a new surreal comedy (they also owe the series ""A Blunt Bullet""). Here they make fun of the many tearful ""Airport"" (there is also the little girl who has to go to the hospital for a transplant) and the results are hilarious.",4,3,1,1,1
132,Stewardess School,1987,Comedy,93,United States,Ken Blancato,"Judy Landers, Brett Cullen, Sherman Hemsley, Mary Cadorette, Don Most, Sandahl Bergman, Wendie Jo Sperber, Dennis Burkley",3.6,4,3,6,A group of young people meet in a school for flight attendants. The instructor believes she is in charge of a survival course and tortures her pupils in various ways.,"The scheme is the same as in ""Police School"", although in this case the film didn't make a penny. The reference to ""The craziest plane in the world"" is also completely invented.",1,2,0,0,0
133,Airplane II: The Sequel,1982,Comedy,84,United States,Ken Finkleman,"Robert Hays, Julie Hagerty, Raymond Burr, Lloyd Bridges, Chad Everett, Chuck Connors, Rip Thorn, John Dehner, Peter Graves, William Shatner",5.9,5.69,6,82,"The first flight of the ""shuttle"" that is to bring the terrestrial colonists to the moon is ready to take off. Some technical incidents would recommend the postponement of the mission, but a strange Board of Directors made up of children is proceeding with the established program anyway. Indeed, the tester who had detected the failures is locked up in an asylum. However, he manages to escape and climb aboard the spacecraft.","Who remembers ""The craziest plane in the world"" has no difficulty in recognizing the same situations and some of the same characters. The comedy is typical of the genre: jokes in bursts to be grasped with a lightning eye.",4,4,2,1,0
134,Section Spéciale,1974,Drama,115,France,Costa-Gavras,"Louis Seigner, Michael Lonsdale, Ivo Garrani, François Maistre, Jacques Spiesser, Roland Bertin, Henri Serre, Heinz Bennent, Hans Richter",8.1,7.33,9,33,"It is August 21, 1941. In the Paris subway a young Communist kills an officer of the German navy. Pucheu, minister of the interior of the Vichy government, ""compensates"" the Germans by setting up a special court that tries six communist militants and puts three to death, thanks to the enactment of a retroactive anti-terrorist law and a tame trial.","Also in this film, as often happened to him, the director Costa Gavras, Athenian by origin but French by adoption, denounces the terrible crimes of human dignity perpetrated by power in a conventional way, with flatly didactic and rhetorical results.",0,2,2,3,0
135,L'affaire Dominici,1973,Thriller,106,"France, Italy, Spain",Claude Bernard-Aubert,"Jean Gabin, Paul Crauchet, Pierre Forget, Gérard Depardieu, Victor Lanoux, Henri Vilbert, Geneviève Fontanel, Alberto Farnese",7.7,8,7,5,"On 5 August 1952, on the Dominici estate in Provence, the bodies of three passing Englishmen were found: husband, wife and little daughter. No traces of violence or theft. The Dominici are notoriously leftist militants and a mysterious meeting was held in their home that very night. The two sons are immediately accused of the murder, but it is then the father who accuses himself. The trial proceedings dismantle the ""evidence"" by demonstrating its vanity; the man is sentenced to death on the basis of some clues, but then pardoned ...",A dry and rigorous film aimed at reconstructing an enigmatic case that they wanted to exploit for political purposes.,0,2,3,3,0
136,The Defector,1966,Spy,100,United States,Raoul Levy,"Montgomery Clift, Hardy Krüger, Macha Meril, Christine Delaroche, David Opatoshu, Hannes Messemer, Karl Lieffen, Uta Levka",4.8,5,5,5,"Professor Bower is sent to the Soviet Union by the American secret services to meet Professor Goshenko who seems willing to give some scientific information. While in Leipzig Bower falls into the hands of the KGB and is accused of spying, Salzer, a trusted person, manages to meet Goshenko and get hold of a microfilm. His intention is to hand him over to Bower (and it happens), but both he and Goshenko are killed. Meanwhile Bower, realizing that there is nothing relevant in the microfilm ...",,0,2,2,2,0
137,Big Business,1988,Comedy,92,United States,Jim Abrahams,"Bette Midler, Lily Tomlin, Fred Ward, Michele Placido, Edward Herrmann, Daniel Gerroll, Barry Primus, Michael Gross, Deborah Rush",5.5,5.17,6,20,"In the Juppiter Hallow hospital, two twins born to a couple of farmers are mistakenly mistaken for two others, born to a couple of rich people. The former are called Rose and Sadie, the latter Sadie and Rose. When they become adults, the closure of the factory where the less fortunate Rose works, owned by the very lucky Sadie, finally causes the intricate clash that everyone has been waiting for from the beginning.","Jim Abrahams, having dissolved the partnership with the Zucker brothers, launches into a full-throttle comedy: misunderstanding, wide-ranging quotes, but the only real invention of the film is the presence in the cast of Michele Placido.",2,3,0,1,0
138,Internal Affairs,1990,Crime,112,United States,Mike Figgis,"Richard Gere, Andy Garcia, Nancy Travis, Laurie Metcalf, Richard Bradford, William Baldwin, Michael Beach, Katherine Borowitz",6.5,6.57,6,73,"Raymond Avila is a young inspector charged with investigating an alleged corruption case involving a former fellow student employed by Sergeant Dennis Peck. When the suspect is killed, the suspects are directed towards Peck, an ambiguous and violent character. The conflict between him and Avila takes on increasingly bitter tones, until the final confrontation.","Mike Figgis made his debut in 1988 with a discreet noir, here he remains faithful to the most sordid metropolitan environments. Effective Richard Gere who pours his undoubted appeal into the character of the villain. Andy Garcia is an apt antagonist.",0,2,1,2,2
140,The Notorious Landlady,1962,Comedy,98,United States,Richard Quine,"Kim Novak, Jack Lemmon, Fred Astaire, Estelle Winwood, Lionel Jeffries, Maxwell Reed, Philippa Bevans, Henry Daniell",7.1,7.4,7,49,"In London, a young American diplomat rents an apartment from Mrs Hardwicke, whom the police suspect has killed and made her husband disappear, and falls in love with her. The husband, a scoundrel, returns home instead and is accidentally killed during a fight with the woman.","Elegant satire of the detective stories of the English tradition, from a play by Blake Edwards.",3,3,0,0,0
142,Burglar,1987,Comedy,103,United States,Hugh Wilson,"Whoopi Goldberg, Bob Goldthwait, G.W. Bailey, Lesley Ann Warren, James Handy, Anne De Salvo, John Goodman, Elizabeth Ruscio",4,3.33,5,24,"An upstanding bookseller by day, Bernice Rhodenbarr turns into a professional thief by night. In reality she steals because she is forced by a former policeman who blackmails her. Having to ""recover"" some jewels in the house of the separated husband of the dentist who is treating her, she enters the man's house just as he is murdered. The result is an intricate case from which the nice Bernice will, of course, be the winner.","The film that takes its cue from Lawrence Block's novels rests almost everything on the shoulders of the nice black actress, here flanked by two interpreters (and the director) from the ""Police School"" series.",1,2,0,1,0
143,The Valiant,1961,War,90,"Italy, Great Britain",Roy Ward Baker,"Ettore Manni, John Mills, Roberto Risso, Robert Shaw, Liam Redmond, Ralph Michael, Colin Douglas, Dinsdale Landen, John Meillon",4.8,4,6,17,"During the Second World War some Italian divers are commissioned to carry out a particularly daring and dangerous action: to sink an English ship in the port of Alexandria in Egypt. The commando leaves, but, after completing the sinking, the men are captured.","The film evokes a real war episode and is inspired by Robert Mallet's play entitled ""L'Equipage au complet"". On the same subject Duilio Coletti had made in 1953 a film entitled ""The seven of the major bear"" in which the heroism of the Italian soldiers was exalted. Here the story is seen from the side of the British.",0,2,2,1,0
144,Africa addio,1966,Documentary,140,Italy,"Gualtiero Jacopetti, Franco Prosperi",,5.1,4.83,5,28,"In the 1960s, most of the African colonies achieved independence. The new states thus created, heavily dependent on European aid, politically unstable and often divided by ethnic feuds, are ""explored"" in some of their particularly striking aspects.","Massacres of animals, bloody vendettas, summary executions and more constitute the material of the film which - under the documentary pretext - actually pushes on the pedal of a vulgar exoticism and strong sensations. Sensationalist and indifferent, played on atrocities passed off as true and almost always false.",0,2,0,3,1
145,Africa Express,1975,Adventure,95,Italy,Michele Lupo,"Giuliano Gemma, Ursula Andress, Jack Palance, Giuseppe Maffioli, Luciana Turina, Rossana Di Lorenzo, Nello Pazzafini",5.1,5.5,5,25,John Baxter (Gemma) has been working in Africa for some time and has a dream: to return to Detroit and open a gas station. When he has almost collected the necessary money he finds himself involved by the beautiful Magdalene (Andress) in the hunt for an American who has been wanted for thirty years because he spies on the Nazis. After many ups and downs the enterprise succeeds and John will never return to America.,"The film had a notable success with the public, not only in Italy, so much so that it was made the following year with a sequel with the same actors. The catchy soundtrack of Guido and Maurizio De Angelis, which remained in the hit parade for a long time, contributed to the fortune of the film.",1,2,0,1,1
146,Africa sotto i mari,1952,Adventure,95,Italy,Giovanni Roccardi,"Sophia Loren, Stephen Barclay, Umberto Melnati, Alessandro Fersen, Antonio Cifariello, Antonio Bardi, Masino Manunza, Osman Omar",4.1,4,4,9,"In the Red Sea, a group of men is engaged in a research project on the underwater environment. The yacht was made available by the industrialist Sebastiano Lama who, in exchange, then demanded that his daughter Barbara be joined to the expedition. The girl sees the trip as a punishment and immediately behaves in a grumpy and irritating way. Then she foolishly risks her life in a dive, is rescued and begins to look at the captain with different eyes.","Except for the presence of Sophia Loren, the best things are the underwater shots. The story, on the other hand, is of an abysmal stupidity.",0,1,0,1,2
150,L'âge d'or,1930,Drama,60,France,Luis Buñuel,"Gaston Modot, Lya Lys, Max Ernst, Pierre Prévert, Lionel Salem, Caridad de Laberdesque, Artigas, Germaine Noizet, Duchange, Bonaventura Ibáñez",8.4,8.63,8,110,"The prologue resembles a documentary on scorpions then, in a stretch of inaccessible coast, some bandits try in vain to prevent the landing of civil and religious authorities who found ""Imperial Rome"". The action moves to the outskirts of Paris where a reception takes place in a luxurious villa. Among the guests is a young diplomat (Gaston Modot) who, amidst the general scandal, tries in every way to mate with the boss' daughter (Lya Lys). In the epilogue, the Duke of Blangis, a character from Sade's ""One Hundred and Twenty Days of Sodom"", has the appearance of Jesus. Born within the surrealist group, the film was challenged by right-wing movements that attacked the cinema and smeared the screen. The prefectural decree that prohibited its screening was never revoked and only expired after fifty years.",,2,2,4,3,4
151,Taking Care of Business,1990,Comedy,109,United States,Arthur Hiller,"James Belushi, Charles Grodin, Anne De Salvo, Loryn Locklin, Stephen Elliott, Hector Elizondo, Mako, Veronica Hamel, Gates McFadden",4.9,4,6,13,"Spencer Barnes is a manager who, shortly before an important business meeting, loses his irreplaceable Filofax agenda, including credit cards. Jimmy, on the other hand, is a thief who still has to serve three days in prison, but escapes a few hours to go to a baseball game. Naturally it is Jimmy who finds Spencer's agenda and from this arises a long string of misunderstandings.","Filofax herself sponsored the film, and it shows. The idea is not bad, but it seems to have already seen it a little too many times (for example ""Unachair for two""). The ""strange couple"" Belushi-Grodin works very well.",2,3,0,1,0
153,On Her Majesty's Secret Services,1969,Spy,140,Great Britain,Peter R. Hunt,"George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti, Ilse Steppat, Lois Maxwell, George Baker, Bernard Lee, Bernard Horsfall, Desmond Llewelyn",7.3,7.47,7,156,"James Bond, Agent 007 licensed to kill, is once again on the trail of the criminal organization Specter. The investigations take him this time to a mysterious villa in the Swiss Alps. Seeing himself discovered, Bond forced to flee with a spectacular action manages to return to London.","The moment of the ski escape from the villa is probably the most interesting point of the whole film. For the rest, the film does not differ much from the others in the series, except perhaps for the final bitterness. In addition 007 had just lost the face of Sean Connery, the real and only interpreter of the agent, and had not yet found that of the nice Roger Moore.",1,3,0,2,1
